merchant_id,merchant_name,merchant_category,merchant_segment
MER0350,Merchant_0350,Grocery,Small
MER0351,Merchant_0351,Travel,Small
MER0352,Merchant_0352,E-commerce,Large
MER0353,Merchant_0353,Education,Large
MER0354,Merchant_0354,Travel,Large
MER0355,Merchant_0355,Retail,Enterprise
MER0356,Merchant_0356,Entertainment,Small
MER0357,Merchant_0357,Grocery,Small
MER0358,Merchant_0358,Education,Medium
MER0359,Merchant_0359,Services,Large
MER0360,Merchant_0360,Retail,Medium
MER0361,Merchant_0361,Entertainment,Medium
MER0362,Merchant_0362,Travel,Small
MER0363,Merchant_0363,Food & Dining,Small
MER0364,Merchant_0364,Services,Small
MER0365,Merchant_0365,Entertainment,Small
MER0366,Merchant_0366,Food & Dining,Large
MER0367,Merchant_0367,Utilities,Small
MER0368,Merchant_0368,Travel,Enterprise
MER0369,Merchant_0369,Food & Dining,Small
MER0370,Merchant_0370,Entertainment,Large
MER0371,Merchant_0371,Entertainment,Medium
MER0372,Merchant_0372,E-commerce,Medium
MER0373,Merchant_0373,Services,Small
MER0374,Merchant_0374,Entertainment,Medium
MER0375,Merchant_0375,Education,Large
MER0376,Merchant_0376,Food & Dining,Small
MER0377,Merchant_0377,Travel,Small
MER0378,Merchant_0378,Utilities,Small
MER0379,Merchant_0379,Education,Small
MER0380,Merchant_0380,E-commerce,Small
MER0381,Merchant_0381,Utilities,Medium
MER0382,Merchant_0382,Utilities,Small
MER0383,Merchant_0383,Services,Medium
MER0384,Merchant_0384,Services,Large
MER0385,Merchant_0385,Entertainment,Medium
MER0386,Merchant_0386,Services,Small
MER0387,Merchant_0387,Retail,Medium
MER0388,Merchant_0388,Healthcare,Small
MER0389,Merchant_0389,Entertainment,Small
MER0390,Merchant_0390,Services,Small
MER0391,Merchant_0391,E-commerce,Large
MER0392,Merchant_0392,Travel,Medium
MER0393,Merchant_0393,Utilities,Small
MER0394,Merchant_0394,Retail,Medium
MER0395,Merchant_0395,Travel,Small
MER0396,Merchant_0396,Travel,Enterprise
MER0397,Merchant_0397,Grocery,Enterprise
MER0398,Merchant_0398,Food & Dining,Small
MER0399,Merchant_0399,Food & Dining,Small
MER0400,Merchant_0400,E-commerce,Medium
MER0401,Merchant_0401,Entertainment,Medium
MER0402,Merchant_0402,Grocery,Small
MER0403,Merchant_0403,E-commerce,Medium
MER0404,Merchant_0404,Utilities,Small
MER0405,Merchant_0405,Education,Medium
MER0406,Merchant_0406,Education,Small
MER0407,Merchant_0407,Grocery,Medium
MER0408,Merchant_0408,Food & Dining,Medium
MER0409,Merchant_0409,Education,Medium
MER0410,Merchant_0410,Food & Dining,Medium
MER0411,Merchant_0411,Entertainment,Medium
MER0412,Merchant_0412,Healthcare,Small
MER0413,Merchant_0413,Travel,Small
MER0414,Merchant_0414,Utilities,Small
MER0415,Merchant_0415,Grocery,Small
MER0416,Merchant_0416,Food & Dining,Medium
MER0417,Merchant_0417,Services,Small
MER0418,Merchant_0418,Travel,Small
MER0419,Merchant_0419,Services,Large
MER0420,Merchant_0420,Education,Medium
MER0421,Merchant_0421,Healthcare,Medium
MER0422,Merchant_0422,Healthcare,Small
MER0423,Merchant_0423,Entertainment,Small
MER0424,Merchant_0424,Utilities,Medium
MER0425,Merchant_0425,Education,Large
MER0426,Merchant_0426,Food & Dining,Small
MER0427,Merchant_0427,Travel,Medium
MER0428,Merchant_0428,Retail,Large
MER0429,Merchant_0429,Healthcare,Medium
MER0430,Merchant_0430,Services,Small
MER0431,Merchant_0431,Utilities,Medium
MER0432,Merchant_0432,Food & Dining,Large
MER0433,Merchant_0433,Services,Medium
MER0434,Merchant_0434,Travel,Large
MER0435,Merchant_0435,Travel,Medium
MER0436,Merchant_0436,Education,Large
MER0437,Merchant_0437,E-commerce,Large
MER0438,Merchant_0438,Services,Medium
MER0439,Merchant_0439,Food & Dining,Medium
MER0440,Merchant_0440,Travel,Medium
MER0441,Merchant_0441,Education,Medium
MER0442,Merchant_0442,Education,Large
MER0443,Merchant_0443,Entertainment,Small
MER0444,Merchant_0444,Retail,Medium
MER0445,Merchant_0445,E-commerce,Medium
MER0446,Merchant_0446,Grocery,Medium
MER0447,Merchant_0447,Travel,Medium
MER0448,Merchant_0448,Food & Dining,Small
MER0449,Merchant_0449,Food & Dining,Small
MER0450,Merchant_0450,Healthcare,Large
MER0451,Merchant_0451,Entertainment,Large
MER0452,Merchant_0452,Entertainment,Small
MER0453,Merchant_0453,Entertainment,Medium
MER0454,Merchant_0454,Food & Dining,Large
MER0455,Merchant_0455,E-commerce,Medium
MER0456,Merchant_0456,Education,Medium
MER0457,Merchant_0457,Services,Small
MER0458,Merchant_0458,Utilities,Medium
MER0459,Merchant_0459,Retail,Medium
MER0460,Merchant_0460,Travel,Medium
MER0461,Merchant_0461,Entertainment,Medium
MER0462,Merchant_0462,E-commerce,Small
MER0463,Merchant_0463,Food & Dining,Enterprise
MER0464,Merchant_0464,Education,Medium
MER0465,Merchant_0465,Utilities,Medium
MER0466,Merchant_0466,Food & Dining,Large
MER0467,Merchant_0467,Education,Large
MER0468,Merchant_0468,E-commerce,Large
MER0469,Merchant_0469,E-commerce,Medium
MER0470,Merchant_0470,Education,Medium
MER0471,Merchant_0471,Healthcare,Small
MER0472,Merchant_0472,Retail,Small
MER0473,Merchant_0473,Food & Dining,Medium
MER0474,Merchant_0474,Food & Dining,Medium
MER0475,Merchant_0475,Travel,Small
MER0476,Merchant_0476,Healthcare,Large
MER0477,Merchant_0477,Utilities,Medium
MER0478,Merchant_0478,E-commerce,Medium
MER0479,Merchant_0479,Entertainment,Small
MER0480,Merchant_0480,Services,Small
MER0481,Merchant_0481,Education,Large
MER0482,Merchant_0482,Food & Dining,Small
MER0483,Merchant_0483,E-commerce,Medium
MER0484,Merchant_0484,Services,Medium
MER0485,Merchant_0485,Retail,Medium
MER0486,Merchant_0486,E-commerce,Medium
MER0487,Merchant_0487,Food & Dining,Small
MER0488,Merchant_0488,E-commerce,Small
MER0489,Merchant_0489,Services,Medium
MER0490,Merchant_0490,Retail,Medium
MER0491,Merchant_0491,Utilities,Small
MER0492,Merchant_0492,Education,Small
MER0493,Merchant_0493,E-commerce,Small
MER0494,Merchant_0494,Travel,Medium
MER0495,Merchant_0495,Healthcare,Small
MER0496,Merchant_0496,Education,Small
MER0497,Merchant_0497,E-commerce,Medium
MER0498,Merchant_0498,Education,Small
MER0499,Merchant_0499,E-commerce,Medium
MER0500,Merchant_0500,Grocery,Small
MER0501,Merchant_0501,Travel,Large
MER0502,Merchant_0502,Food & Dining,Small
MER0503,Merchant_0503,Travel,Small
MER0504,Merchant_0504,Retail,Large
MER0505,Merchant_0505,Grocery,Small
MER0506,Merchant_0506,Travel,Medium
MER0507,Merchant_0507,Services,Small
MER0508,Merchant_0508,Travel,Small
MER0509,Merchant_0509,Healthcare,Medium
MER0510,Merchant_0510,E-commerce,Large
MER0511,Merchant_0511,Retail,Medium
MER0512,Merchant_0512,Utilities,Medium
MER0513,Merchant_0513,Food & Dining,Medium
MER0514,Merchant_0514,E-commerce,Small
MER0515,Merchant_0515,Utilities,Medium
MER0516,Merchant_0516,Utilities,Small
MER0517,Merchant_0517,E-commerce,Small
MER0518,Merchant_0518,Travel,Small
MER0519,Merchant_0519,Healthcare,Large
MER0520,Merchant_0520,Entertainment,Small
MER0521,Merchant_0521,Grocery,Medium
MER0522,Merchant_0522,Entertainment,Small
MER0523,Merchant_0523,Food & Dining,Small
MER0524,Merchant_0524,Education,Medium
MER0525,Merchant_0525,Education,Medium
MER0526,Merchant_0526,Education,Medium
MER0527,Merchant_0527,Services,Small
MER0528,Merchant_0528,Grocery,Large
MER0529,Merchant_0529,E-commerce,Small
MER0530,Merchant_0530,Utilities,Medium
MER0531,Merchant_0531,Entertainment,Medium
MER0532,Merchant_0532,E-commerce,Medium
MER0533,Merchant_0533,Travel,Large
MER0534,Merchant_0534,Grocery,Medium
MER0535,Merchant_0535,Travel,Small
MER0536,Merchant_0536,Services,Small
MER0537,Merchant_0537,Food & Dining,Small
MER0538,Merchant_0538,Grocery,Small
MER0539,Merchant_0539,Grocery,Large
MER0540,Merchant_0540,Utilities,Small
MER0541,Merchant_0541,Healthcare,Medium
MER0542,Merchant_0542,Education,Medium
MER0543,Merchant_0543,Utilities,Large
MER0544,Merchant_0544,Entertainment,Medium
MER0545,Merchant_0545,Entertainment,Medium
MER0546,Merchant_0546,Entertainment,Small
MER0547,Merchant_0547,Entertainment,Medium
MER0548,Merchant_0548,Utilities,Small
MER0549,Merchant_0549,Retail,Large
MER0550,Merchant_0550,Food & Dining,Small
MER0551,Merchant_0551,Retail,Small
MER0552,Merchant_0552,Utilities,Medium
MER0553,Merchant_0553,Grocery,Medium
MER0554,Merchant_0554,Entertainment,Medium
MER0555,Merchant_0555,Education,Small
MER0556,Merchant_0556,Retail,Small
MER0557,Merchant_0557,Education,Small
MER0558,Merchant_0558,E-commerce,Medium
MER0559,Merchant_0559,Food & Dining,Medium
MER0560,Merchant_0560,Entertainment,Small
MER0561,Merchant_0561,Travel,Medium
MER0562,Merchant_0562,Retail,Small
MER0563,Merchant_0563,Entertainment,Large
MER0564,Merchant_0564,Retail,Small
MER0565,Merchant_0565,Travel,Medium
MER0566,Merchant_0566,E-commerce,Medium
MER0567,Merchant_0567,Healthcare,Small
MER0568,Merchant_0568,Entertainment,Small
MER0569,Merchant_0569,Entertainment,Small
MER0570,Merchant_0570,Food & Dining,Small
MER0571,Merchant_0571,Utilities,Medium
MER0572,Merchant_0572,Retail,Small
MER0573,Merchant_0573,Travel,Small
MER0574,Merchant_0574,Services,Small
MER0575,Merchant_0575,Travel,Small
MER0576,Merchant_0576,Grocery,Small
MER0577,Merchant_0577,Education,Small
MER0578,Merchant_0578,Retail,Medium
MER0579,Merchant_0579,Food & Dining,Medium
MER0580,Merchant_0580,E-commerce,Large
MER0581,Merchant_0581,Services,Small
MER0582,Merchant_0582,Education,Small
MER0583,Merchant_0583,Grocery,Small
MER0584,Merchant_0584,E-commerce,Medium
MER0585,Merchant_0585,Grocery,Medium
MER0586,Merchant_0586,Entertainment,Small
MER0587,Merchant_0587,Retail,Medium
MER0588,Merchant_0588,Healthcare,Medium
MER0589,Merchant_0589,Entertainment,Enterprise
MER0590,Merchant_0590,Food & Dining,Small
MER0591,Merchant_0591,Travel,Small
MER0592,Merchant_0592,Healthcare,Small
MER0593,Merchant_0593,Food & Dining,Small
MER0594,Merchant_0594,Education,Large
MER0595,Merchant_0595,Food & Dining,Small
MER0596,Merchant_0596,Utilities,Medium
MER0597,Merchant_0597,Entertainment,Small
MER0598,Merchant_0598,Retail,Small
MER0599,Merchant_0599,Grocery,Small
MER0600,Merchant_0600,Travel,Small
MER0601,Merchant_0601,Healthcare,Medium
MER0602,Merchant_0602,Services,Enterprise
MER0603,Merchant_0603,Travel,Medium
MER0604,Merchant_0604,Travel,Medium
MER0605,Merchant_0605,E-commerce,Small
MER0606,Merchant_0606,Travel,Large
MER0607,Merchant_0607,Travel,Small
MER0608,Merchant_0608,Travel,Large
MER0609,Merchant_0609,Grocery,Medium
MER0610,Merchant_0610,Utilities,Small
MER0611,Merchant_0611,Travel,Medium
MER0612,Merchant_0612,Healthcare,Enterprise
MER0613,Merchant_0613,Utilities,Small
MER0614,Merchant_0614,Travel,Small
MER0615,Merchant_0615,Healthcare,Small
MER0616,Merchant_0616,Healthcare,Medium
MER0617,Merchant_0617,Education,Small
MER0618,Merchant_0618,Entertainment,Medium
MER0619,Merchant_0619,Food & Dining,Large
MER0620,Merchant_0620,Services,Large
MER0621,Merchant_0621,Food & Dining,Small
MER0622,Merchant_0622,E-commerce,Medium
MER0623,Merchant_0623,Retail,Small
MER0624,Merchant_0624,Services,Medium
MER0625,Merchant_0625,Utilities,Large
MER0626,Merchant_0626,Services,Medium
MER0627,Merchant_0627,Food & Dining,Large
MER0628,Merchant_0628,Healthcare,Large
MER0629,Merchant_0629,Food & Dining,Small
MER0630,Merchant_0630,Services,Medium
MER0631,Merchant_0631,Retail,Small
MER0632,Merchant_0632,Services,Small
MER0633,Merchant_0633,Healthcare,Small
MER0634,Merchant_0634,Utilities,Large
MER0635,Merchant_0635,Healthcare,Small
MER0636,Merchant_0636,Travel,Medium
MER0637,Merchant_0637,E-commerce,Medium
MER0638,Merchant_0638,Retail,Medium
MER0639,Merchant_0639,Healthcare,Medium
MER0640,Merchant_0640,Retail,Small
MER0641,Merchant_0641,Education,Medium
MER0642,Merchant_0642,Services,Medium
MER0643,Merchant_0643,E-commerce,Medium
MER0644,Merchant_0644,Grocery,Small
MER0645,Merchant_0645,Travel,Small
MER0646,Merchant_0646,Utilities,Large
MER0647,Merchant_0647,Food & Dining,Small
MER0648,Merchant_0648,Entertainment,Small
MER0649,Merchant_0649,Entertainment,Small
MER0650,Merchant_0650,Grocery,Small
MER0651,Merchant_0651,Services,Small
