customer_id,customer_age,customer_gender,customer_segment,registration_date
CUST00152,31,Male,Mass,2023-09-04
CUST00153,56,Male,Premium,2021-07-30
CUST00154,44,Female,Business,2021-05-12
CUST00155,26,Male,Premium,2024-10-29
CUST00156,32,Male,Mass,2021-06-03
CUST00157,32,Female,Mass,2023-07-09
CUST00158,43,Female,Premium,2024-12-17
CUST00159,59,Male,Business,2023-08-10
CUST00160,30,Male,Mass,2023-03-17
CUST00161,68,Male,Mass,2024-10-21
CUST00162,49,Male,Premium,2025-09-14
CUST00163,56,Male,Mass,2021-05-27
CUST00164,66,Female,Mass,2025-10-24
CUST00165,69,Female,Mass,2025-12-23
CUST00166,49,Male,Mass,2024-02-25
CUST00167,21,Male,Premium,2024-08-24
CUST00168,47,Male,Mass,2022-12-16
CUST00169,54,Male,Premium,2024-02-16
CUST00170,40,Male,Mass,2025-05-16
CUST00171,56,Female,Mass,2021-08-19
CUST00172,62,Female,Mass,2022-03-27
CUST00173,32,Other,Premium,2025-03-04
CUST00174,60,Female,Mass,2025-08-13
CUST00175,46,Male,Mass,2024-03-14
CUST00176,53,Female,Premium,2023-06-26
CUST00177,30,Male,Mass,2025-07-05
CUST00178,49,Male,Mass,2025-08-30
CUST00179,24,Female,Mass,2025-09-21
CUST00180,68,Male,Mass,2023-12-09
CUST00181,39,Female,Mass,2021-04-17
CUST00182,45,Male,Mass,2021-04-03
CUST00183,19,Female,Premium,2025-07-18
CUST00184,59,Female,Premium,2023-04-09
CUST00185,62,Female,Mass,2021-05-20
CUST00186,70,Female,Mass,2024-08-30
CUST00187,23,Male,Business,2021-01-11
CUST00188,45,Female,Mass,2022-03-24
CUST00189,45,Female,Premium,2023-07-16
CUST00190,61,Female,Mass,2022-01-30
CUST00191,61,Female,Mass,2025-03-09
CUST00192,37,Female,Premium,2022-01-13
CUST00193,47,Female,Mass,2021-12-27
CUST00194,28,Female,Mass,2022-11-14
CUST00195,45,Female,Premium,2023-10-14
CUST00196,42,Female,Premium,2025-04-21
CUST00197,56,Male,Premium,2022-10-04
CUST00198,50,Male,Mass,2022-07-27
CUST00199,18,Male,Mass,2023-09-24
CUST00200,44,Male,Premium,2025-05-04
CUST00201,69,Male,Business,2023-07-12
CUST00202,30,Female,Premium,2022-01-31
CUST00203,58,Male,Premium,2021-07-05
CUST00204,20,Male,Mass,2024-05-29
CUST00205,56,Female,Premium,2025-03-22
CUST00206,23,Female,Premium,2024-08-16
CUST00207,25,Female,Premium,2024-04-13
CUST00208,44,Other,Mass,2025-12-20
CUST00209,26,Female,Premium,2022-01-06
CUST00210,54,Male,Mass,2025-03-13
CUST00211,50,Female,Mass,2024-05-12
CUST00212,68,Female,Mass,2022-08-31
CUST00213,59,Male,Mass,2021-10-09
CUST00214,61,Male,Mass,2025-07-29
CUST00215,41,Female,Premium,2024-12-10
CUST00216,32,Male,Mass,2023-11-23
CUST00217,49,Female,Mass,2021-03-23
CUST00218,49,Male,Mass,2025-02-15
CUST00219,41,Female,Premium,2021-05-28
CUST00220,58,Female,Mass,2025-06-19
CUST00221,69,Male,Mass,2023-08-23
CUST00222,66,Male,Premium,2023-09-19
CUST00223,66,Female,Mass,2023-08-06
CUST00224,69,Female,Premium,2022-05-10
CUST00225,29,Female,Premium,2024-04-08
CUST00226,56,Male,Premium,2022-12-24
CUST00227,19,Female,Mass,2022-12-04
CUST00228,20,Male,Mass,2023-10-28
CUST00229,66,Male,Mass,2024-11-04
CUST00230,54,Male,Mass,2023-04-06
CUST00231,66,Female,Mass,2022-03-10
CUST00232,34,Male,Mass,2023-11-24
CUST00233,66,Male,Mass,2022-07-17
CUST00234,19,Female,Business,2025-07-14
CUST00235,19,Female,Premium,2021-05-18
CUST00236,45,Male,Mass,2022-01-02
CUST00237,40,Male,Mass,2021-04-16
CUST00238,54,Male,Business,2023-03-05
CUST00239,49,Male,Mass,2023-11-22
CUST00240,50,Female,Premium,2022-09-28
CUST00241,18,Male,Mass,2025-09-02
CUST00242,36,Female,Premium,2023-09-14
CUST00243,19,Female,Premium,2023-08-16
CUST00244,70,Male,Mass,2025-03-28
CUST00245,61,Female,Mass,2024-04-06
CUST00246,43,Male,Mass,2023-05-05
CUST00247,49,Male,Premium,2021-03-19
CUST00248,23,Male,Mass,2025-04-19
CUST00249,49,Male,Mass,2021-07-28
CUST00250,21,Male,Mass,2024-12-05
CUST00251,28,Male,Premium,2021-01-08
CUST00252,34,Female,Premium,2023-01-07
CUST00253,55,Female,Mass,2021-08-15
CUST00254,41,Female,Mass,2021-06-24
CUST00255,22,Male,Mass,2021-03-22
CUST00256,69,Female,Mass,2025-12-23
CUST00257,51,Female,Mass,2023-12-17
CUST00258,23,Female,Mass,2024-03-04
CUST00259,39,Female,Business,2021-08-26
CUST00260,28,Female,Mass,2025-02-04
CUST00261,65,Male,Premium,2024-05-25
CUST00262,33,Female,Mass,2025-10-29
CUST00263,50,Male,Mass,2023-11-16
CUST00264,26,Other,Mass,2021-07-06
CUST00265,23,Male,Mass,2022-09-22
CUST00266,33,Male,Mass,2025-09-29
CUST00267,46,Male,Premium,2024-02-14
CUST00268,20,Female,Mass,2023-10-11
CUST00269,37,Male,Mass,2023-03-26
CUST00270,53,Male,Premium,2022-09-06
CUST00271,36,Female,Mass,2023-06-11
CUST00272,43,Female,Mass,2024-04-01
CUST00273,20,Male,Mass,2024-12-08
CUST00274,36,Male,Premium,2021-06-27
CUST00275,37,Female,Premium,2023-09-12
CUST00276,49,Female,Mass,2021-10-07
CUST00277,24,Female,Mass,2023-03-09
CUST00278,69,Female,Premium,2024-05-20
CUST00279,58,Male,Business,2023-12-14
CUST00280,50,Female,Mass,2021-03-08
CUST00281,57,Female,Premium,2022-06-28
CUST00282,56,Female,Mass,2025-11-22
CUST00283,35,Male,Mass,2022-06-04
CUST00284,57,Female,Mass,2022-05-14
CUST00285,18,Female,Mass,2023-08-04
CUST00286,28,Male,Mass,2024-12-25
CUST00287,45,Female,Business,2022-12-28
CUST00288,42,Female,Mass,2023-12-06
CUST00289,67,Female,Mass,2025-06-04
CUST00290,40,Female,Mass,2023-11-25
CUST00291,48,Female,Premium,2021-07-08
CUST00292,47,Female,Premium,2024-01-18
CUST00293,59,Male,Mass,2024-09-20
CUST00294,52,Male,Mass,2023-08-05
CUST00295,24,Male,Mass,2021-05-16
CUST00296,33,Female,Mass,2022-06-30
CUST00297,43,Female,Mass,2023-03-04
CUST00298,65,Female,Mass,2024-02-11
CUST00299,69,Female,Premium,2024-04-10
CUST00300,66,Female,Mass,2024-09-24
CUST00301,19,Other,Mass,2022-07-09
CUST00302,18,Male,Mass,2023-06-13
CUST00303,65,Female,Mass,2023-08-04
CUST00304,29,Male,Mass,2022-06-09
CUST00305,22,Female,Mass,2021-06-23
CUST00306,54,Female,Premium,2022-09-29
CUST00307,49,Female,Mass,2024-09-17
CUST00308,26,Male,Mass,2021-07-26
CUST00309,58,Male,Mass,2024-09-28
CUST00310,52,Female,Business,2023-08-07
CUST00311,36,Female,Mass,2021-04-14
CUST00312,65,Male,Premium,2025-07-24
CUST00313,33,Female,Mass,2023-11-30
CUST00314,20,Male,Mass,2023-11-13
CUST00315,37,Female,Premium,2024-06-29
CUST00316,41,Female,Mass,2021-10-17
CUST00317,50,Female,Mass,2024-05-10
CUST00318,41,Female,Mass,2024-03-24
CUST00319,69,Female,Premium,2022-07-21
CUST00320,28,Female,Mass,2024-02-04
CUST00321,66,Male,Mass,2024-07-07
CUST00322,25,Male,Mass,2023-08-22
CUST00323,53,Male,Mass,2024-05-08
CUST00324,55,Female,Mass,2023-04-18
CUST00325,57,Male,Mass,2024-05-25
CUST00326,37,Male,Mass,2022-02-15
CUST00327,52,Male,Mass,2025-05-02
CUST00328,65,Male,Mass,2023-06-01
CUST00329,42,Male,Mass,2024-02-15
CUST00330,52,Female,Mass,2023-06-05
CUST00331,42,Female,Business,2022-02-28
CUST00332,46,Female,Premium,2024-05-20
CUST00333,35,Female,Mass,2021-06-04
CUST00334,63,Male,Premium,2024-07-10
CUST00335,35,Female,Business,2025-03-11
CUST00336,19,Male,Mass,2021-05-31
CUST00337,52,Male,Mass,2021-07-31
CUST00338,33,Female,Mass,2024-04-30
CUST00339,58,Male,Premium,2023-05-31
CUST00340,53,Female,Mass,2023-01-25
CUST00341,50,Male,Mass,2024-01-27
CUST00342,21,Female,Mass,2022-06-25
CUST00343,50,Female,Premium,2022-12-02
CUST00344,31,Male,Mass,2021-06-21
CUST00345,38,Female,Premium,2022-01-06
CUST00346,65,Male,Premium,2025-09-29
CUST00347,37,Female,Mass,2024-03-24
CUST00348,25,Male,Mass,2024-03-09
CUST00349,24,Female,Mass,2023-07-02
CUST00350,20,Female,Business,2023-03-13
CUST00351,34,Male,Premium,2021-09-13
CUST00352,50,Female,Premium,2023-09-17
CUST00353,65,Female,Mass,2022-11-07
CUST00354,29,Female,Mass,2025-07-28
CUST00355,68,Female,Mass,2023-05-14
CUST00356,39,Male,Mass,2022-02-20
CUST00357,39,Female,Premium,2021-11-25
CUST00358,63,Male,Mass,2024-11-02
CUST00359,47,Male,Mass,2023-07-07
CUST00360,55,Other,Mass,2024-07-13
CUST00361,55,Female,Mass,2025-04-14
CUST00362,62,Male,Mass,2024-03-08
CUST00363,68,Male,Mass,2023-08-20
CUST00364,25,Female,Premium,2023-04-04
CUST00365,44,Male,Mass,2025-06-09
CUST00366,44,Male,Mass,2025-03-16
CUST00367,51,Male,Mass,2021-09-06
CUST00368,38,Female,Premium,2023-01-15
CUST00369,47,Female,Mass,2021-11-04
CUST00370,50,Male,Premium,2022-07-27
CUST00371,45,Female,Mass,2025-12-14
CUST00372,64,Male,Mass,2024-05-27
CUST00373,50,Female,Mass,2023-03-09
CUST00374,22,Other,Mass,2023-09-28
CUST00375,65,Female,Premium,2023-01-31
CUST00376,36,Female,Mass,2025-05-27
CUST00377,21,Female,Mass,2021-10-20
CUST00378,52,Male,Mass,2022-02-14
CUST00379,66,Female,Premium,2021-07-17
CUST00380,34,Female,Premium,2021-03-21
CUST00381,61,Male,Mass,2024-11-09
CUST00382,45,Male,Mass,2021-05-17
CUST00383,47,Female,Premium,2021-08-01
CUST00384,46,Female,Premium,2022-09-11
CUST00385,63,Male,Mass,2023-08-18
CUST00386,70,Male,Mass,2024-05-15
CUST00387,23,Female,Premium,2025-08-15
CUST00388,52,Female,Mass,2024-03-02
CUST00389,58,Female,Mass,2021-06-15
CUST00390,54,Female,Premium,2025-03-07
CUST00391,41,Female,Mass,2022-03-06
CUST00392,46,Female,Premium,2024-04-18
CUST00393,66,Female,Mass,2021-05-01
CUST00394,63,Female,Premium,2024-04-12
CUST00395,70,Female,Mass,2021-11-27
CUST00396,48,Male,Premium,2023-12-28
CUST00397,52,Male,Mass,2025-09-19
CUST00398,50,Female,Mass,2024-03-07
CUST00399,69,Male,Mass,2024-08-24
CUST00400,38,Male,Premium,2024-09-15
CUST00401,49,Female,Mass,2024-06-15
CUST00402,40,Female,Mass,2025-04-03
CUST00403,50,Male,Mass,2024-01-05
CUST00404,20,Male,Mass,2024-03-20
CUST00405,35,Male,Mass,2022-09-12
CUST00406,42,Female,Business,2025-08-16
CUST00407,59,Male,Mass,2024-09-01
CUST00408,48,Male,Mass,2021-02-06
CUST00409,20,Male,Business,2023-08-22
CUST00410,57,Female,Mass,2023-04-25
CUST00411,63,Male,Mass,2025-08-09
CUST00412,41,Male,Mass,2024-02-24
CUST00413,67,Female,Mass,2023-03-08
CUST00414,49,Female,Mass,2025-07-02
CUST00415,64,Female,Mass,2021-10-13
CUST00416,39,Other,Premium,2024-06-17
CUST00417,40,Female,Mass,2023-06-06
CUST00418,19,Male,Mass,2025-06-26
CUST00419,44,Female,Premium,2021-08-08
CUST00420,59,Male,Mass,2023-10-28
CUST00421,19,Female,Premium,2021-08-04
CUST00422,43,Male,Mass,2022-11-12
CUST00423,34,Male,Mass,2025-05-29
CUST00424,57,Female,Mass,2021-10-20
CUST00425,50,Male,Mass,2025-04-12
CUST00426,26,Female,Mass,2025-12-18
CUST00427,60,Male,Mass,2025-02-16
CUST00428,65,Male,Mass,2021-02-12
CUST00429,56,Female,Mass,2024-08-23
CUST00430,46,Female,Mass,2024-01-22
CUST00431,59,Female,Mass,2025-05-26
CUST00432,43,Male,Mass,2024-07-16
CUST00433,52,Female,Mass,2025-07-03
CUST00434,67,Female,Mass,2022-11-24
CUST00435,42,Female,Mass,2024-05-23
CUST00436,41,Male,Mass,2023-08-17
CUST00437,30,Female,Mass,2021-04-24
CUST00438,24,Female,Mass,2024-04-23
CUST00439,53,Female,Business,2023-07-10
CUST00440,62,Female,Mass,2024-02-23
CUST00441,37,Female,Mass,2024-02-03
CUST00442,18,Male,Business,2021-08-25
CUST00443,25,Male,Premium,2022-10-15
CUST00444,63,Female,Premium,2021-06-07
CUST00445,33,Male,Mass,2025-02-06
CUST00446,31,Male,Mass,2023-06-27
CUST00447,29,Male,Premium,2025-03-09
CUST00448,68,Male,Premium,2023-08-19
CUST00449,40,Female,Mass,2024-07-21
CUST00450,32,Female,Mass,2023-05-03
CUST00451,45,Female,Business,2024-02-15
CUST00452,51,Male,Mass,2023-06-05
CUST00453,19,Female,Mass,2025-05-17
CUST00454,49,Female,Mass,2025-04-09
CUST00455,40,Female,Mass,2021-03-01
CUST00456,39,Female,Mass,2022-02-05
CUST00457,68,Male,Mass,2023-04-08
CUST00458,42,Female,Business,2025-12-06
CUST00459,39,Female,Mass,2024-04-18
CUST00460,39,Female,Mass,2024-06-09
CUST00461,66,Female,Premium,2022-04-21
CUST00462,69,Male,Mass,2022-10-17
CUST00463,59,Female,Mass,2023-04-25
CUST00464,23,Female,Mass,2023-07-13
CUST00465,32,Male,Mass,2024-06-22
CUST00466,60,Male,Mass,2025-06-05
CUST00467,54,Male,Premium,2022-09-30
CUST00468,50,Male,Premium,2022-10-11
CUST00469,25,Male,Premium,2025-05-11
CUST00470,70,Male,Mass,2021-08-01
CUST00471,61,Female,Mass,2025-06-18
CUST00472,61,Male,Mass,2025-01-22
CUST00473,22,Male,Mass,2023-09-17
CUST00474,56,Female,Mass,2023-03-15
CUST00475,21,Female,Premium,2021-05-08
CUST00476,23,Female,Mass,2023-08-10
CUST00477,62,Male,Mass,2021-08-05
CUST00478,49,Female,Mass,2022-12-12
CUST00479,69,Male,Mass,2021-01-20
CUST00480,47,Female,Premium,2025-05-10
CUST00481,64,Male,Premium,2025-11-17
CUST00482,52,Female,Mass,2025-11-22
CUST00483,57,Male,Mass,2023-12-20
CUST00484,69,Female,Business,2022-11-06
CUST00485,33,Female,Premium,2022-12-15
CUST00486,30,Male,Business,2023-01-09
CUST00487,67,Male,Mass,2024-02-27
CUST00488,59,Female,Mass,2022-07-11
CUST00489,47,Female,Mass,2021-07-16
CUST00490,36,Female,Mass,2023-07-25
CUST00491,34,Male,Premium,2025-02-24
CUST00492,36,Male,Mass,2022-11-09
CUST00493,45,Female,Mass,2022-05-19
CUST00494,43,Female,Mass,2024-06-24
CUST00495,54,Female,Premium,2023-01-08
CUST00496,43,Female,Mass,2023-03-03
CUST00497,70,Female,Mass,2024-07-07
CUST00498,40,Female,Mass,2024-10-02
CUST00499,26,Male,Mass,2021-07-16
CUST00500,29,Male,Mass,2024-02-05
CUST00501,70,Female,Mass,2023-02-20
CUST00502,18,Male,Premium,2023-01-14
CUST00503,18,Male,Mass,2025-06-25
CUST00504,64,Male,Mass,2024-03-29
CUST00505,51,Male,Business,2022-02-26
CUST00506,49,Female,Business,2025-06-19
CUST00507,65,Female,Mass,2024-05-15
CUST00508,42,Male,Mass,2024-08-29
CUST00509,57,Male,Mass,2022-03-08
CUST00510,62,Female,Mass,2023-07-15
CUST00511,70,Male,Business,2021-08-23
CUST00512,18,Female,Premium,2021-11-23
CUST00513,33,Female,Mass,2023-07-23
CUST00514,56,Male,Mass,2022-04-24
CUST00515,22,Female,Mass,2022-03-04
CUST00516,39,Female,Mass,2022-10-28
CUST00517,46,Male,Mass,2024-01-29
CUST00518,20,Female,Mass,2024-06-15
CUST00519,29,Male,Mass,2024-02-05
CUST00520,43,Male,Mass,2023-05-08
CUST00521,33,Female,Mass,2024-10-19
CUST00522,68,Female,Mass,2022-10-04
CUST00523,54,Female,Mass,2023-03-22
CUST00524,39,Male,Premium,2025-02-25
CUST00525,46,Male,Mass,2023-12-03
CUST00526,31,Female,Mass,2022-07-29
CUST00527,45,Male,Mass,2024-01-02
CUST00528,22,Female,Mass,2025-09-18
CUST00529,64,Female,Mass,2023-10-16
CUST00530,66,Female,Mass,2025-07-11
CUST00531,47,Female,Mass,2024-08-20
CUST00532,63,Male,Premium,2023-10-26
CUST00533,69,Male,Mass,2025-05-31
CUST00534,22,Male,Mass,2023-03-14
CUST00535,29,Female,Premium,2024-10-04
CUST00536,33,Female,Mass,2022-02-04
CUST00537,43,Female,Mass,2022-08-18
CUST00538,43,Female,Mass,2024-12-27
CUST00539,65,Female,Mass,2025-05-15
CUST00540,38,Male,Mass,2024-02-05
CUST00541,56,Male,Mass,2021-04-27
CUST00542,53,Male,Premium,2022-01-18
CUST00543,50,Female,Mass,2023-05-09
CUST00544,47,Male,Mass,2021-03-23
CUST00545,54,Female,Mass,2023-04-12
CUST00546,40,Female,Mass,2023-05-23
CUST00547,27,Female,Mass,2022-10-15
CUST00548,22,Female,Business,2023-01-04
CUST00549,53,Male,Mass,2024-12-04
CUST00550,51,Male,Premium,2021-03-11
CUST00551,69,Female,Mass,2022-01-22
CUST00552,48,Male,Premium,2022-06-08
CUST00553,27,Male,Premium,2021-10-24
CUST00554,36,Female,Premium,2022-09-09
CUST00555,49,Male,Premium,2022-12-20
CUST00556,18,Female,Mass,2023-12-25
CUST00557,22,Female,Mass,2025-05-18
CUST00558,62,Male,Mass,2021-06-27
CUST00559,21,Female,Mass,2023-10-29
CUST00560,33,Male,Premium,2024-03-28
CUST00561,41,Female,Mass,2021-01-11
CUST00562,33,Male,Mass,2023-02-24
CUST00563,19,Female,Mass,2022-02-15
CUST00564,66,Male,Premium,2023-06-11
CUST00565,45,Male,Business,2022-08-30
CUST00566,49,Male,Mass,2021-06-04
CUST00567,44,Male,Mass,2024-05-14
CUST00568,37,Male,Mass,2024-02-13
CUST00569,41,Female,Mass,2024-11-03
CUST00570,29,Female,Mass,2022-08-22
CUST00571,67,Male,Premium,2023-04-04
CUST00572,52,Male,Mass,2025-09-29
CUST00573,50,Female,Mass,2021-12-16
CUST00574,50,Female,Mass,2024-01-27
CUST00575,68,Male,Premium,2023-08-01
CUST00576,60,Female,Premium,2021-01-19
CUST00577,54,Male,Mass,2021-11-09
CUST00578,29,Female,Premium,2023-07-16
CUST00579,20,Male,Mass,2022-06-12
CUST00580,18,Male,Mass,2022-07-11
CUST00581,50,Female,Mass,2025-08-18
CUST00582,57,Male,Premium,2022-03-21
CUST00583,27,Female,Mass,2021-08-19
CUST00584,60,Male,Premium,2025-08-20
CUST00585,61,Female,Mass,2022-09-17
CUST00586,46,Female,Premium,2023-10-08
CUST00587,30,Male,Premium,2023-06-08
CUST00588,29,Female,Mass,2021-12-25
CUST00589,48,Female,Premium,2024-11-07
CUST00590,63,Female,Mass,2025-03-16
CUST00591,19,Female,Business,2021-02-13
CUST00592,68,Female,Premium,2024-10-20
CUST00593,67,Male,Mass,2023-05-27
CUST00594,52,Male,Premium,2025-07-04
CUST00595,40,Female,Mass,2024-02-09
CUST00596,34,Female,Business,2021-08-11
CUST00597,43,Male,Premium,2024-11-10
CUST00598,25,Female,Mass,2023-06-21
CUST00599,46,Female,Mass,2024-07-12
CUST00600,43,Male,Mass,2021-09-28
CUST00601,27,Male,Premium,2021-07-31
CUST00602,43,Female,Premium,2025-02-28
CUST00603,51,Male,Mass,2024-08-30
CUST00604,68,Female,Mass,2025-11-29
CUST00605,58,Female,Mass,2024-11-11
CUST00606,24,Male,Mass,2021-09-04
CUST00607,21,Male,Mass,2023-08-06
CUST00608,70,Male,Mass,2025-05-10
CUST00609,67,Male,Mass,2023-04-01
CUST00610,62,Female,Mass,2024-10-05
CUST00611,28,Male,Mass,2021-03-13
CUST00612,46,Female,Premium,2024-08-12
CUST00613,53,Male,Mass,2024-05-21
CUST00614,42,Male,Mass,2021-10-22
CUST00615,38,Male,Mass,2021-06-20
CUST00616,53,Male,Mass,2021-09-03
CUST00617,27,Male,Mass,2024-03-10
CUST00618,54,Male,Mass,2025-06-28
CUST00619,26,Female,Mass,2022-09-09
CUST00620,41,Female,Premium,2021-08-28
CUST00621,52,Male,Mass,2021-11-07
CUST00622,66,Male,Mass,2024-12-10
CUST00623,52,Male,Mass,2022-02-02
CUST00624,65,Male,Mass,2023-07-12
CUST00625,53,Female,Premium,2023-03-03
CUST00626,35,Male,Premium,2021-01-22
CUST00627,66,Male,Mass,2024-01-07
CUST00628,56,Male,Mass,2023-03-24
CUST00629,49,Male,Premium,2023-06-23
CUST00630,41,Male,Mass,2025-02-07
CUST00631,40,Female,Mass,2025-09-27
CUST00632,49,Male,Mass,2023-04-12
CUST00633,54,Male,Premium,2024-10-08
CUST00634,29,Female,Premium,2024-10-26
CUST00635,66,Female,Mass,2023-11-11
