device_id,device_type,os_version,app_version
DEV00128,Web,macOS,v5.1
DEV00129,Web,iOS 17,v5.1
DEV00130,Android,Android 14,v4.2
DEV00131,iOS,macOS,v5.0
DEV00132,Android,iOS 18,v5.1
DEV00133,POS,iOS 18,v4.1
DEV00134,Android,Windows 11,v4.3
DEV00135,iOS,macOS,v4.1
DEV00136,Web,Android 13,v4.1
DEV00137,POS,iOS 17,v5.0
DEV00138,iOS,Android 15,v5.0
DEV00139,Android,iOS 17,v4.1
DEV00140,iOS,Android 13,v5.1
DEV00141,Android,iOS 17,v4.1
DEV00142,iOS,Android 14,v5.1
DEV00143,POS,Android 13,v4.2
DEV00144,Android,iOS 18,v4.2
DEV00145,iOS,iOS 18,v5.0
DEV00146,Web,Android 14,v4.3
DEV00147,Android,iOS 18,v4.3
DEV00148,iOS,Windows 11,v5.0
DEV00149,Web,Android 14,v4.2
DEV00150,POS,iOS 18,v5.0
DEV00151,iOS,macOS,v4.2
DEV00152,Android,iOS 18,v5.1
DEV00153,Android,Windows 11,v4.2
DEV00154,iOS,iOS 17,v4.2
DEV00155,Android,macOS,v4.2
DEV00156,Android,Android 13,v4.3
DEV00157,Web,iOS 18,v4.2
DEV00158,Web,Android 13,v4.1
DEV00159,Web,Android 13,v5.1
DEV00160,Android,iOS 18,v4.3
DEV00161,Android,macOS,v4.1
DEV00162,Web,Android 13,v4.3
DEV00163,Web,Windows 11,v4.3
DEV00164,Web,Android 14,v4.1
DEV00165,POS,macOS,v5.0
DEV00166,Web,Windows 11,v5.0
DEV00167,iOS,Android 15,v4.2
DEV00168,Android,Android 14,v4.1
DEV00169,iOS,macOS,v4.2
DEV00170,iOS,iOS 18,v5.0
DEV00171,Android,Android 14,v4.1
DEV00172,Web,Windows 11,v4.1
DEV00173,Android,macOS,v4.1
DEV00174,Web,Android 15,v4.2
DEV00175,Android,macOS,v4.3
DEV00176,iOS,Android 14,v4.3
DEV00177,Web,macOS,v4.3
DEV00178,Android,Android 13,v4.1
DEV00179,iOS,macOS,v5.0
DEV00180,Android,iOS 18,v4.2
DEV00181,Web,Android 13,v4.2
DEV00182,Web,macOS,v5.0
DEV00183,POS,Android 13,v4.3
DEV00184,Web,iOS 18,v5.1
DEV00185,Web,iOS 18,v5.0
DEV00186,Android,iOS 17,v4.3
DEV00187,Android,Android 15,v4.1
DEV00188,iOS,macOS,v5.0
DEV00189,iOS,Android 13,v4.3
DEV00190,Web,Windows 11,v4.2
DEV00191,Android,Android 13,v5.1
DEV00192,Android,macOS,v5.1
DEV00193,iOS,iOS 18,v5.1
DEV00194,Android,iOS 18,v4.3
DEV00195,Web,macOS,v4.3
DEV00196,iOS,macOS,v4.1
DEV00197,Web,Android 14,v5.1
DEV00198,Android,Android 13,v4.2
DEV00199,POS,Android 13,v5.1
DEV00200,Android,iOS 18,v5.0
DEV00201,Android,Windows 11,v5.0
DEV00202,iOS,Windows 11,v4.2
DEV00203,Android,Android 13,v4.3
DEV00204,Android,Android 15,v5.1
DEV00205,Android,iOS 17,v5.0
DEV00206,iOS,iOS 18,v4.2
DEV00207,Web,iOS 18,v4.1
DEV00208,iOS,Android 13,v5.0
DEV00209,iOS,macOS,v5.0
DEV00210,Android,Windows 11,v5.1
DEV00211,Android,iOS 17,v4.3
DEV00212,Android,iOS 17,v5.0
DEV00213,Web,Windows 11,v5.0
DEV00214,Android,iOS 18,v5.1
DEV00215,POS,iOS 18,v4.3
DEV00216,Android,iOS 18,v4.1
DEV00217,iOS,Android 15,v4.1
DEV00218,POS,Android 13,v4.1
DEV00219,Android,Android 15,v4.1
DEV00220,Web,iOS 18,v4.3
DEV00221,Android,iOS 17,v4.1
DEV00222,Android,Android 13,v5.1
DEV00223,Android,Android 13,v5.1
DEV00224,Web,Windows 11,v5.1
DEV00225,Android,iOS 18,v4.1
DEV00226,Android,iOS 18,v5.1
DEV00227,POS,iOS 18,v5.1
DEV00228,Android,iOS 18,v4.2
DEV00229,Android,macOS,v4.1
DEV00230,POS,macOS,v5.1
DEV00231,Android,iOS 18,v4.3
DEV00232,Android,macOS,v5.1
DEV00233,Web,iOS 18,v4.2
DEV00234,Android,Android 13,v4.3
DEV00235,Android,Android 15,v4.3
DEV00236,Android,iOS 17,v5.0
DEV00237,Web,macOS,v4.2
DEV00238,Android,iOS 18,v4.2
DEV00239,Android,iOS 17,v5.1
DEV00240,Android,Windows 11,v4.2
DEV00241,Android,Android 13,v4.3
DEV00242,iOS,iOS 17,v4.3
DEV00243,Android,Android 13,v5.1
DEV00244,iOS,Android 14,v4.3
DEV00245,iOS,Android 15,v5.1
DEV00246,Android,Android 14,v5.0
DEV00247,Android,Android 13,v4.2
DEV00248,Android,macOS,v4.2
DEV00249,Android,Windows 11,v4.2
DEV00250,iOS,Android 14,v5.0
DEV00251,iOS,Android 13,v4.2
DEV00252,Android,Android 14,v5.0
DEV00253,iOS,Android 13,v5.0
DEV00254,POS,Android 15,v5.1
DEV00255,Android,Windows 11,v4.1
DEV00256,iOS,Android 15,v4.1
DEV00257,Web,Android 15,v5.1
DEV00258,Android,Android 13,v5.1
DEV00259,Web,iOS 17,v5.1
DEV00260,POS,Android 14,v4.2
DEV00261,Android,macOS,v4.3
DEV00262,Web,Android 14,v5.1
DEV00263,Android,Android 14,v5.0
DEV00264,Android,Windows 11,v4.1
DEV00265,iOS,Android 14,v4.2
DEV00266,Android,Android 15,v4.3
DEV00267,iOS,iOS 17,v4.1
DEV00268,Android,Android 14,v4.1
DEV00269,Web,iOS 17,v4.1
DEV00270,iOS,Android 13,v5.0
DEV00271,iOS,Android 13,v5.0
DEV00272,Android,Windows 11,v5.0
DEV00273,Android,Android 14,v4.3
DEV00274,Android,iOS 18,v4.1
DEV00275,Web,Windows 11,v5.1
DEV00276,Android,Android 15,v4.3
DEV00277,iOS,Windows 11,v5.0
DEV00278,Android,Android 14,v5.0
DEV00279,iOS,Android 15,v5.0
DEV00280,iOS,Android 14,v4.2
DEV00281,Android,Android 15,v4.1
DEV00282,iOS,macOS,v5.1
DEV00283,Android,iOS 18,v4.1
DEV00284,Web,iOS 18,v4.3
DEV00285,Web,Windows 11,v4.2
DEV00286,iOS,Android 13,v4.3
DEV00287,Web,Windows 11,v5.0
DEV00288,Web,Android 14,v5.0
DEV00289,iOS,iOS 18,v5.1
DEV00290,Android,iOS 18,v4.1
DEV00291,iOS,Windows 11,v4.3
DEV00292,Android,Android 14,v5.0
DEV00293,iOS,Windows 11,v5.1
DEV00294,iOS,macOS,v5.1
DEV00295,iOS,Windows 11,v4.3
DEV00296,iOS,Windows 11,v4.1
DEV00297,iOS,Android 14,v4.2
DEV00298,Android,Android 13,v5.1
DEV00299,Android,iOS 18,v4.3
DEV00300,iOS,Android 15,v5.0
DEV00301,Android,Android 14,v4.2
DEV00302,Web,Android 14,v4.2
DEV00303,Android,Android 14,v4.1
DEV00304,Android,Windows 11,v4.3
DEV00305,iOS,Windows 11,v4.1
DEV00306,iOS,Android 14,v5.1
DEV00307,Android,iOS 18,v5.1
DEV00308,Android,Android 15,v4.3
DEV00309,Android,Android 13,v5.0
DEV00310,Android,iOS 17,v5.1
DEV00311,Android,iOS 18,v5.1
DEV00312,iOS,iOS 18,v5.0
DEV00313,Web,macOS,v4.2
DEV00314,Android,iOS 17,v4.3
DEV00315,Android,iOS 17,v4.2
DEV00316,Web,Android 14,v4.1
DEV00317,Web,Android 15,v5.0
DEV00318,Android,iOS 18,v4.3
DEV00319,Android,iOS 18,v5.0
DEV00320,Android,Android 13,v5.0
DEV00321,Android,iOS 17,v4.2
DEV00322,iOS,iOS 17,v4.2
DEV00323,POS,iOS 18,v4.1
DEV00324,iOS,iOS 17,v4.3
DEV00325,POS,Android 14,v5.0
DEV00326,iOS,Android 13,v4.1
DEV00327,Web,iOS 18,v5.0
DEV00328,Android,Windows 11,v4.1
DEV00329,Android,Android 13,v5.0
DEV00330,Web,Windows 11,v4.2
DEV00331,Android,macOS,v5.1
DEV00332,Android,Android 14,v4.1
DEV00333,iOS,Android 13,v4.1
DEV00334,Android,Windows 11,v5.1
DEV00335,iOS,iOS 17,v4.2
DEV00336,Android,iOS 18,v4.1
DEV00337,Web,Android 13,v4.2
DEV00338,Android,Android 15,v5.0
DEV00339,iOS,iOS 18,v5.0
DEV00340,Android,Android 13,v5.1
DEV00341,Web,iOS 18,v4.3
DEV00342,iOS,Windows 11,v4.2
DEV00343,Android,Android 13,v4.3
DEV00344,Android,Android 13,v4.3
DEV00345,Android,iOS 17,v4.2
DEV00346,iOS,Android 13,v4.3
DEV00347,iOS,Android 15,v4.1
DEV00348,Android,iOS 17,v5.0
DEV00349,Web,Android 15,v5.1
DEV00350,Web,Windows 11,v4.2
DEV00351,Android,Android 15,v5.1
DEV00352,Android,macOS,v5.0
DEV00353,iOS,Android 14,v5.1
DEV00354,iOS,Android 15,v4.2
DEV00355,Android,Android 13,v5.1
DEV00356,Android,iOS 18,v4.3
DEV00357,Android,iOS 17,v4.3
DEV00358,iOS,iOS 17,v5.0
DEV00359,iOS,iOS 17,v4.3
DEV00360,Android,iOS 18,v5.1
DEV00361,Android,Android 15,v4.1
DEV00362,Android,Windows 11,v5.1
DEV00363,Web,macOS,v4.1
DEV00364,Android,Android 14,v5.1
DEV00365,iOS,Android 13,v4.1
DEV00366,Web,Windows 11,v4.1
DEV00367,Web,iOS 17,v4.2
DEV00368,iOS,Android 13,v4.2
DEV00369,Android,Android 15,v5.1
DEV00370,Web,macOS,v4.3
DEV00371,Web,Windows 11,v4.2
DEV00372,Web,macOS,v4.1
DEV00373,Android,Android 14,v5.1
DEV00374,Android,macOS,v4.3
DEV00375,Web,iOS 17,v5.1
DEV00376,POS,macOS,v4.1
DEV00377,Web,Android 15,v4.2
DEV00378,Web,Windows 11,v4.2
DEV00379,iOS,Android 14,v5.0
DEV00380,Android,Windows 11,v5.0
DEV00381,iOS,iOS 17,v5.1
DEV00382,Web,Android 15,v5.1
DEV00383,iOS,Android 13,v4.3
DEV00384,POS,Windows 11,v4.2
DEV00385,Android,iOS 18,v4.2
DEV00386,Android,iOS 17,v5.0
DEV00387,POS,Android 14,v4.1
DEV00388,Android,Android 14,v4.1
DEV00389,Web,iOS 18,v5.0
DEV00390,Web,iOS 18,v5.1
DEV00391,Android,Android 15,v4.2
DEV00392,Web,iOS 18,v4.2
DEV00393,Android,iOS 17,v4.2
DEV00394,Web,Windows 11,v4.1
DEV00395,Android,iOS 18,v5.1
DEV00396,iOS,iOS 17,v4.1
DEV00397,iOS,Android 13,v5.1
DEV00398,iOS,iOS 18,v5.0
DEV00399,Web,Android 13,v5.1
DEV00400,POS,macOS,v4.1
DEV00401,Web,Windows 11,v4.2
DEV00402,POS,Android 14,v4.1
DEV00403,iOS,Windows 11,v5.0
DEV00404,iOS,macOS,v4.2
DEV00405,Android,iOS 18,v4.1
DEV00406,POS,Android 14,v4.2
DEV00407,Android,Windows 11,v5.0
DEV00408,Android,Android 13,v5.1
DEV00409,Android,Android 14,v5.1
DEV00410,Android,Android 13,v4.3
DEV00411,POS,Android 15,v4.2
DEV00412,Android,Windows 11,v5.0
DEV00413,POS,Windows 11,v4.1
DEV00414,Android,Android 13,v4.1
DEV00415,Web,Android 15,v4.3
DEV00416,iOS,Android 14,v4.1
DEV00417,Android,Android 13,v5.0
DEV00418,iOS,Android 15,v5.0
DEV00419,Android,Android 13,v5.1
DEV00420,Android,iOS 17,v4.2
DEV00421,Android,Windows 11,v4.2
DEV00422,Android,iOS 17,v4.1
DEV00423,Android,Android 14,v4.2
DEV00424,iOS,iOS 17,v4.3
DEV00425,Android,Windows 11,v4.2
DEV00426,Web,iOS 18,v4.1
DEV00427,POS,Android 15,v4.2
DEV00428,Android,Windows 11,v5.0
DEV00429,iOS,Windows 11,v5.0
DEV00430,Android,iOS 18,v5.1
DEV00431,Android,iOS 17,v5.1
DEV00432,Web,Android 14,v5.1
DEV00433,Android,iOS 18,v5.1
DEV00434,Android,Windows 11,v4.2
DEV00435,Android,macOS,v4.1
DEV00436,Web,Android 14,v4.2
DEV00437,iOS,Android 13,v4.1
DEV00438,POS,Windows 11,v4.1
DEV00439,POS,iOS 18,v4.1
DEV00440,Android,Android 13,v4.1
DEV00441,Android,iOS 18,v5.0
DEV00442,Android,macOS,v4.1
DEV00443,iOS,Android 15,v4.2
DEV00444,iOS,Android 14,v4.1
DEV00445,Android,Android 13,v5.0
DEV00446,Android,macOS,v4.2
DEV00447,Android,iOS 17,v4.3
DEV00448,Web,iOS 18,v4.2
DEV00449,POS,Windows 11,v5.0
DEV00450,Android,Android 13,v5.0
DEV00451,Android,macOS,v5.1
DEV00452,Android,macOS,v4.3
DEV00453,Web,iOS 18,v4.1
DEV00454,POS,iOS 18,v5.0
DEV00455,Android,iOS 18,v5.1
DEV00456,Android,Android 13,v5.1
DEV00457,Android,Android 13,v4.1
DEV00458,iOS,iOS 18,v4.2
DEV00459,Web,iOS 17,v4.3
DEV00460,iOS,Windows 11,v4.1
DEV00461,POS,Android 14,v4.1
DEV00462,Android,macOS,v4.2
DEV00463,Web,iOS 18,v4.2
DEV00464,Android,iOS 17,v5.0
DEV00465,Android,Android 14,v4.2
DEV00466,Web,iOS 18,v4.2
DEV00467,POS,macOS,v4.3
DEV00468,Web,Android 14,v4.3
DEV00469,Web,iOS 18,v4.3
DEV00470,Web,Android 13,v4.1
DEV00471,Android,iOS 18,v4.3
DEV00472,Web,iOS 18,v4.3
DEV00473,Web,iOS 18,v5.1
DEV00474,iOS,iOS 18,v4.3
DEV00475,iOS,iOS 17,v4.1
DEV00476,Web,Android 15,v5.1
DEV00477,Web,iOS 17,v4.1
DEV00478,Android,iOS 17,v4.1
DEV00479,Web,Android 13,v5.1
DEV00480,Web,iOS 18,v5.1
DEV00481,Android,iOS 17,v5.1
DEV00482,Web,Android 14,v5.1
DEV00483,Android,iOS 18,v4.1
DEV00484,Android,Android 13,v5.1
DEV00485,iOS,Windows 11,v4.2
DEV00486,POS,Windows 11,v4.3
DEV00487,Android,Android 13,v4.3
DEV00488,Web,macOS,v4.2
DEV00489,iOS,Android 14,v4.1
DEV00490,Web,Windows 11,v4.1
DEV00491,Web,Android 13,v4.3
DEV00492,Web,Windows 11,v5.0
DEV00493,Web,iOS 18,v4.2
DEV00494,Web,Android 15,v4.2
DEV00495,Android,Android 15,v4.3
DEV00496,Android,iOS 17,v5.1
DEV00497,Android,Android 13,v5.0
DEV00498,Web,macOS,v4.1
DEV00499,Android,iOS 18,v4.1
DEV00500,Android,Android 14,v4.1
DEV00501,Web,Android 14,v4.1
DEV00502,Web,iOS 18,v4.2
DEV00503,Web,iOS 18,v4.2
DEV00504,Android,Android 14,v5.1
DEV00505,Android,Android 13,v4.2
DEV00506,Android,Windows 11,v5.1
DEV00507,Android,iOS 17,v5.1
DEV00508,Android,iOS 17,v4.1
DEV00509,Android,iOS 17,v4.1
DEV00510,Android,iOS 18,v4.2
DEV00511,iOS,Android 14,v4.2
DEV00512,Android,macOS,v5.1
DEV00513,Android,macOS,v4.3
DEV00514,Web,Android 14,v4.1
DEV00515,Web,Android 14,v5.0
DEV00516,Web,Windows 11,v4.3
DEV00517,iOS,Android 14,v4.1
DEV00518,POS,Android 14,v4.1
DEV00519,POS,Android 15,v4.2
DEV00520,iOS,Windows 11,v5.0
DEV00521,iOS,iOS 18,v5.0
DEV00522,Android,macOS,v4.1
DEV00523,Web,Windows 11,v5.1
DEV00524,iOS,iOS 18,v5.0
DEV00525,POS,Android 15,v4.3
DEV00526,iOS,iOS 17,v5.1
DEV00527,POS,Android 13,v4.2
DEV00528,Web,Windows 11,v4.1
DEV00529,POS,iOS 18,v4.1
DEV00530,Android,iOS 18,v4.3
DEV00531,Android,Android 15,v4.3
DEV00532,Web,iOS 18,v4.2
DEV00533,Web,iOS 18,v4.2
DEV00534,Android,iOS 17,v5.0
DEV00535,Web,Android 15,v5.1
DEV00536,iOS,Windows 11,v4.1
DEV00537,Android,iOS 18,v5.0
DEV00538,iOS,Android 14,v4.2
DEV00539,POS,Android 15,v4.3
DEV00540,iOS,iOS 17,v5.0
DEV00541,Web,Windows 11,v4.3
DEV00542,Android,Android 13,v5.1
DEV00543,Web,iOS 18,v4.3
DEV00544,POS,Android 14,v4.1
DEV00545,iOS,Android 14,v5.1
DEV00546,Android,Android 13,v4.3
DEV00547,iOS,Android 15,v5.0
DEV00548,POS,iOS 17,v4.1
DEV00549,Android,iOS 18,v4.1
DEV00550,Android,iOS 18,v4.2
DEV00551,Android,Windows 11,v4.2
DEV00552,iOS,iOS 18,v5.0
DEV00553,iOS,Android 14,v4.2
DEV00554,POS,Android 15,v4.3
DEV00555,Android,Android 13,v4.2
DEV00556,iOS,Android 15,v4.1
DEV00557,Web,iOS 17,v5.0
DEV00558,Android,iOS 17,v4.3
DEV00559,iOS,macOS,v4.1
DEV00560,Web,Android 13,v4.1
DEV00561,Android,Android 14,v5.1
DEV00562,Android,Windows 11,v4.2
DEV00563,iOS,Android 13,v4.3
DEV00564,Android,Windows 11,v5.0
DEV00565,Android,iOS 17,v5.0
DEV00566,POS,Android 14,v5.0
DEV00567,iOS,Android 15,v5.1
DEV00568,Web,iOS 17,v4.3
DEV00569,Android,Android 14,v4.1
DEV00570,POS,Android 14,v5.1
DEV00571,Web,iOS 18,v4.2
DEV00572,Web,Android 15,v4.1
DEV00573,Android,Android 14,v5.0
DEV00574,iOS,Android 13,v4.2
DEV00575,iOS,Windows 11,v4.3
DEV00576,Web,macOS,v4.3
DEV00577,Web,Android 15,v5.1
DEV00578,Android,Android 15,v4.3
DEV00579,POS,macOS,v5.0
DEV00580,POS,iOS 17,v5.1
DEV00581,iOS,Android 15,v5.1
DEV00582,Android,Android 15,v5.0
DEV00583,Web,iOS 18,v4.3
DEV00584,iOS,Android 15,v4.2
DEV00585,Web,Windows 11,v5.1
DEV00586,Web,Windows 11,v4.2
DEV00587,Android,Windows 11,v4.2
DEV00588,iOS,Android 14,v4.2
DEV00589,iOS,macOS,v4.2
DEV00590,POS,macOS,v5.0
DEV00591,Android,Android 13,v4.1
DEV00592,Android,macOS,v4.3
DEV00593,Web,Windows 11,v4.1
DEV00594,Android,iOS 18,v4.1
DEV00595,Web,iOS 18,v5.1
DEV00596,Android,iOS 18,v4.1
DEV00597,iOS,iOS 18,v4.1
DEV00598,iOS,iOS 17,v5.0
DEV00599,Android,macOS,v4.2
DEV00600,POS,iOS 18,v4.1
DEV00601,Android,iOS 17,v4.1
DEV00602,Android,iOS 17,v5.1
DEV00603,iOS,Android 15,v4.3
DEV00604,iOS,Android 13,v5.1
DEV00605,Android,Android 15,v4.3
DEV00606,Android,iOS 17,v4.3
DEV00607,POS,Android 15,v4.3
DEV00608,Android,Android 14,v5.0
DEV00609,Android,macOS,v5.0
DEV00610,iOS,iOS 18,v4.2
DEV00611,Android,iOS 18,v4.3
DEV00612,Android,macOS,v5.0
DEV00613,Android,macOS,v5.0
DEV00614,Android,iOS 17,v4.1
DEV00615,Android,Android 15,v4.3
DEV00616,Android,macOS,v5.1
DEV00617,iOS,Android 14,v4.1
DEV00618,iOS,Android 14,v5.0
DEV00619,Android,Windows 11,v5.0
DEV00620,POS,Android 14,v5.0
DEV00621,Web,iOS 17,v5.0
DEV00622,POS,Windows 11,v5.1
DEV00623,Android,Android 15,v4.2
DEV00624,iOS,Android 14,v4.2
DEV00625,Android,Android 14,v4.3
DEV00626,Web,Android 15,v5.0
DEV00627,Android,Android 15,v4.3
DEV00628,Android,iOS 18,v5.1
DEV00629,iOS,Android 13,v4.3
DEV00630,iOS,Android 13,v4.2
DEV00631,iOS,Android 14,v4.2
DEV00632,Android,Android 15,v4.2
DEV00633,Android,iOS 18,v4.3
DEV00634,POS,iOS 17,v5.0
DEV00635,Web,Android 13,v4.1
DEV00636,iOS,Windows 11,v4.2
DEV00637,iOS,Android 13,v4.3
DEV00638,Android,Android 15,v4.1
DEV00639,Android,macOS,v4.2
DEV00640,Android,iOS 17,v4.2
DEV00641,iOS,Android 13,v5.1
DEV00642,Web,macOS,v4.2
DEV00643,iOS,iOS 18,v4.1
DEV00644,Android,Android 13,v4.1
DEV00645,iOS,Android 15,v5.0
DEV00646,Android,Android 15,v4.1
DEV00647,Web,Windows 11,v4.3
DEV00648,Android,Windows 11,v4.3
DEV00649,iOS,iOS 17,v4.2
DEV00650,Web,Android 13,v5.0
DEV00651,Android,iOS 17,v4.2
DEV00652,Android,macOS,v5.0
DEV00653,iOS,Android 13,v5.1
DEV00654,Android,Android 14,v5.0
DEV00655,iOS,Android 13,v5.1
DEV00656,Web,Android 15,v5.1
DEV00657,Android,Android 15,v4.2
DEV00658,iOS,Android 14,v4.3
DEV00659,POS,Android 13,v5.0
DEV00660,iOS,Android 13,v4.2
DEV00661,POS,Android 15,v5.1
DEV00662,Android,Android 14,v5.1
DEV00663,Web,Android 15,v4.1
DEV00664,iOS,macOS,v4.1
DEV00665,Web,Android 14,v5.0
DEV00666,Android,Android 15,v4.3
DEV00667,Android,iOS 18,v4.1
DEV00668,Android,Android 13,v5.1
DEV00669,POS,iOS 17,v4.2
DEV00670,Android,iOS 18,v4.3
DEV00671,POS,Android 15,v5.0
DEV00672,Android,Android 14,v4.2
DEV00673,Android,iOS 17,v5.0
DEV00674,Android,Android 14,v4.2
DEV00675,iOS,Windows 11,v4.2
DEV00676,Web,Android 14,v4.3
DEV00677,Android,Windows 11,v5.0
DEV00678,POS,macOS,v4.1
DEV00679,Android,Windows 11,v4.2
DEV00680,Web,Android 13,v4.2
DEV00681,Web,Android 15,v4.1
DEV00682,Android,Android 13,v4.3
DEV00683,Android,Windows 11,v4.3
DEV00684,Android,Android 14,v4.3
DEV00685,Android,Android 13,v5.1
DEV00686,POS,iOS 18,v5.1
DEV00687,POS,macOS,v4.3
DEV00688,Web,Windows 11,v4.3
DEV00689,Web,Android 14,v4.1
DEV00690,Android,Android 14,v5.1
DEV00691,Android,iOS 18,v5.0
DEV00692,Web,Android 14,v4.3
DEV00693,iOS,iOS 17,v4.3
DEV00694,Web,iOS 17,v4.3
DEV00695,Web,Android 15,v4.2
DEV00696,Android,Android 15,v5.1
DEV00697,Android,Android 13,v5.0
DEV00698,Web,Android 13,v4.2
DEV00699,iOS,macOS,v4.2
DEV00700,Web,iOS 18,v5.0
DEV00701,iOS,iOS 18,v5.0
DEV00702,Android,Windows 11,v5.0
DEV00703,Android,macOS,v5.0
DEV00704,Web,Android 14,v5.0
DEV00705,iOS,Android 15,v4.3
DEV00706,Android,Windows 11,v5.0
DEV00707,iOS,Android 15,v5.0
DEV00708,iOS,Android 15,v5.1
DEV00709,Android,Android 15,v4.3
DEV00710,Android,Android 13,v4.2
DEV00711,Android,iOS 17,v4.3
DEV00712,Android,Windows 11,v4.1
